epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,12909.4,0.76437,0.52568,1.01065,0.96488,0.99124,0.9935,0.84957,0.601,0.41066,0.87902,0.0007526,0.0007526,0.0007526
65,13112.3,0.76888,0.55743,1.01654,0.98896,0.98969,0.99409,0.86923,0.56226,0.36274,0.86436,0.0007328,0.0007328,0.0007328
66,13312.1,0.75974,0.53772,1.00844,0.98462,0.99002,0.99474,0.86894,0.569,0.36407,0.86929,0.000713,0.000713,0.000713
67,13513.2,0.83788,0.57672,1.0528,0.98908,0.99485,0.9949,0.86426,0.58871,0.3569,0.87317,0.0006932,0.0006932,0.0006932
68,13715.2,0.7637,0.52997,1.00772,0.99478,0.99485,0.99495,0.8692,0.59985,0.36918,0.88013,0.0006734,0.0006734,0.0006734
69,13917.9,0.75548,0.54617,1.00267,0.98939,0.98969,0.99443,0.87258,0.58736,0.37356,0.87535,0.0006536,0.0006536,0.0006536
70,14118.7,0.77881,0.56123,1.02677,0.98208,1,0.99263,0.86418,0.58419,0.39257,0.87165,0.0006338,0.0006338,0.0006338
71,14321.2,0.74712,0.51666,0.98574,0.99242,1,0.99438,0.88074,0.53711,0.34414,0.8492,0.000614,0.000614,0.000614
72,14522.3,0.72878,0.48987,0.97552,0.99484,0.99395,0.99485,0.87158,0.57036,0.34566,0.86632,0.0005942,0.0005942,0.0005942
73,14725.1,0.73452,0.51195,1.00062,0.99834,0.99485,0.995,0.88401,0.50999,0.32757,0.84431,0.0005744,0.0005744,0.0005744
74,14928.7,0.7329,0.49182,0.98404,0.99357,0.99485,0.995,0.89009,0.51896,0.32836,0.84681,0.0005546,0.0005546,0.0005546
75,15133.7,0.74356,0.49631,1.01024,0.98978,0.99819,0.99495,0.88902,0.51499,0.32864,0.8474,0.0005348,0.0005348,0.0005348
76,15336,0.74528,0.49763,1.02031,0.99485,0.9954,0.995,0.89216,0.48858,0.31757,0.8365,0.000515,0.000515,0.000515
77,15540.5,0.77201,0.51697,1.02191,0.99858,0.99485,0.995,0.89091,0.49036,0.3086,0.83759,0.0004952,0.0004952,0.0004952
78,15746.5,0.7261,0.51201,0.99886,1,0.99933,0.995,0.89224,0.47781,0.30824,0.83872,0.0004754,0.0004754,0.0004754
79,15948.6,0.72171,0.48474,0.99026,0.99309,1,0.995,0.89696,0.47257,0.30878,0.83769,0.0004556,0.0004556,0.0004556
80,16152.1,0.722,0.49837,1.00164,0.99809,1,0.995,0.89092,0.50164,0.321,0.84535,0.0004358,0.0004358,0.0004358
81,16353.5,0.70126,0.47183,0.98512,0.99368,1,0.99479,0.8948,0.48509,0.31693,0.84261,0.000416,0.000416,0.000416
82,16558.4,0.7159,0.54172,0.99874,0.99446,1,0.995,0.90088,0.48204,0.29871,0.84519,0.0003962,0.0003962,0.0003962
83,16759.9,0.70081,0.48799,0.9974,0.99874,1,0.995,0.90588,0.48197,0.30033,0.84509,0.0003764,0.0003764,0.0003764
84,16963.6,0.68853,0.47308,0.97223,0.98882,1,0.99495,0.90379,0.45971,0.29224,0.83346,0.0003566,0.0003566,0.0003566
85,17164.7,0.7098,0.47885,0.99094,0.98927,1,0.99474,0.90979,0.45215,0.2889,0.82913,0.0003368,0.0003368,0.0003368
86,17367.9,0.69949,0.49065,1.00117,0.99486,0.99844,0.99485,0.90746,0.45929,0.28722,0.83042,0.000317,0.000317,0.000317
87,17570.1,0.70261,0.44693,0.98192,1,0.99953,0.995,0.91375,0.46584,0.28568,0.83245,0.0002972,0.0002972,0.0002972
88,17771.6,0.641,0.43337,0.96117,1,0.99947,0.995,0.90822,0.47396,0.28849,0.83429,0.0002774,0.0002774,0.0002774
89,17975.6,0.63501,0.43212,0.94745,0.99889,1,0.995,0.91798,0.44729,0.2892,0.82443,0.0002576,0.0002576,0.0002576
90,18177.1,0.67679,0.454,0.99218,0.99347,1,0.995,0.91506,0.44522,0.29375,0.82161,0.0002378,0.0002378,0.0002378
91,18382.2,0.59281,0.40862,0.90101,1,0.99357,0.995,0.91961,0.43637,0.29131,0.8195,0.000218,0.000218,0.000218
92,18584.1,0.55722,0.37297,0.89498,1,0.99778,0.995,0.9041,0.44757,0.28838,0.82301,0.0001982,0.0001982,0.0001982
93,18788.4,0.54758,0.35221,0.88707,0.99897,1,0.995,0.91615,0.43487,0.29059,0.81948,0.0001784,0.0001784,0.0001784
94,18989.8,0.56056,0.37622,0.90117,0.99871,1,0.995,0.91879,0.43199,0.29047,0.81911,0.0001586,0.0001586,0.0001586
95,19191.2,0.53171,0.35284,0.87944,0.9988,1,0.995,0.92135,0.42034,0.28386,0.81631,0.0001388,0.0001388,0.0001388
96,19395.3,0.52963,0.35798,0.89597,0.99779,1,0.995,0.92556,0.40811,0.28072,0.81261,0.000119,0.000119,0.000119
97,19598.4,0.5404,0.338,0.88518,0.99647,1,0.995,0.9219,0.41095,0.28166,0.81319,9.92e-05,9.92e-05,9.92e-05
98,19799.1,0.5137,0.32955,0.86864,0.99983,1,0.995,0.91615,0.42088,0.28551,0.81586,7.94e-05,7.94e-05,7.94e-05
99,19999.9,0.53357,0.35604,0.89073,0.99968,1,0.995,0.91727,0.4219,0.28734,0.81599,5.96e-05,5.96e-05,5.96e-05
100,20201.5,0.53152,0.3445,0.87006,0.99915,1,0.995,0.92152,0.41262,0.28365,0.81385,3.98e-05,3.98e-05,3.98e-05
